Date,Year,Season,Food group,Sample no,Prey species,Length,Biomass,SL or TL,Unknown Col 1,Unknown Col 2,Species
27-Sep-07,2007,Winter,Fish,271,Electrona carlsbergi,2.91,15.00,15.00,,,trop
01-Nov-07,2007,Early summer,Fish,276,Electrona carlsbergi,2.55,9.45,9.45,,,trop
01-Nov-07,2007,Early summer,Fish,287,Electrona carlsbergi,2.09,4.71,4.71,,,trop
01-Nov-07,2007,Early summer,Fish,287,Electrona carlsbergi,2.64,10.67,10.67,,,trop
01-Nov-07,2007,Early summer,Fish,287,Electrona carlsbergi,3.27,22.56,22.56,,,trop
01-Nov-07,2007,Early summer,Fish,288,Electrona carlsbergi,2.73,12.00,12.00,,,trop
01-Nov-07,2007,Early summer,Fish,292,Electrona carlsbergi,2.45,8.22,8.22,,,trop
01-Nov-07,2007,Early summer,Fish,292,Electrona carlsbergi,2.73,12.00,12.00,,,trop
28-Nov-07,2007,Early summer,Fish,299,Electrona carlsbergi,4.18,53.23,53.23,,,trop
28-Nov-07,2007,Early summer,Fish,309,Electrona carlsbergi,3.36,24.90,24.90,,,trop
28-Nov-07,2007,Early summer,Fish,316,Electrona carlsbergi,3.73,35.65,35.65,,,trop
28-Nov-07,2007,Early summer,Fish,324,Electrona carlsbergi,3.36,24.90,24.90,,,trop
28-Nov-07,2007,Early summer,Fish,330,Electrona carlsbergi,3.82,38.78,38.78,,,trop
17-Dec-07,2007,Early summer,Fish,334,Electrona carlsbergi,2.82,13.41,13.41,,,trop
17-Dec-07,2007,Early summer,Fish,345,Electrona carlsbergi,3.18,20.50,20.50,,,trop
17-Dec-07,2007,Early summer,Fish,345,Electrona carlsbergi,3.45,27.33,27.33,,,trop
17-Dec-07,2007,Early summer,Fish,357,Electrona carlsbergi,3.18,20.50,20.50,,,trop
16-Jan-08,2008,Early summer,Fish,364,Electrona carlsbergi,3.09,18.52,18.52,,,trop
16-Jan-08,2008,Early summer,Fish,372,Electrona carlsbergi,2.73,11.96,11.96,,,trop
16-Jan-08,2008,Early summer,Fish,374,Electrona carlsbergi,2.64,10.62,10.62,,,trop
16-Jan-08,2008,Early summer,Fish,374,Electrona carlsbergi,2.64,10.62,10.62,,,trop
16-Jan-08,2008,Early summer,Fish,374,Electrona carlsbergi,2.73,11.96,11.96,,,trop
16-Jan-08,2008,Early summer,Fish,374,Electrona carlsbergi,3.00,16.69,16.69,,,trop
16-Jan-08,2008,Early summer,Fish,376,Electrona carlsbergi,2.45,8.27,8.27,,,trop
16-Jan-08,2008,Early summer,Fish,377,Electrona carlsbergi,3.00,16.69,16.69,,,trop
16-Jan-08,2008,Early summer,Fish,383,Electrona carlsbergi,2.91,14.98,14.98,,,trop
18-Jan-08,2008,Early summer,Fish,386,Electrona carlsbergi,2.36,7.25,7.25,,,trop
18-Jan-08,2008,Early summer,Fish,386,Electrona carlsbergi,2.55,9.39,9.39,,,trop
18-Jan-08,2008,Early summer,Fish,388,Electrona carlsbergi,3.00,16.69,16.69,,,trop
18-Jan-08,2008,Early summer,Fish,388,Electrona carlsbergi,3.09,18.52,18.52,,,trop
18-Jan-08,2008,Early summer,Fish,388,Electrona carlsbergi,3.82,38.78,38.78,,,trop
18-Jan-08,2008,Early summer,Fish,391,Electrona carlsbergi,3.00,16.69,16.69,,,trop
18-Jan-08,2008,Early summer,Fish,393,Electrona carlsbergi,2.73,11.96,11.96,,,trop
18-Jan-08,2008,Early summer,Fish,394,Electrona carlsbergi,2.82,13.41,13.41,,,trop
18-Jan-08,2008,Early summer,Fish,405,Electrona carlsbergi,2.73,11.96,11.96,,,trop
18-Jan-08,2008,Early summer,Fish,405,Electrona carlsbergi,3.00,16.69,16.69,,,trop
18-Jan-08,2008,Early summer,Fish,405,Electrona carlsbergi,3.09,18.52,18.52,,,trop
18-Jan-08,2008,Early summer,Fish,405,Electrona carlsbergi,3.64,32.70,32.70,,,trop
15-Feb-08,2008,Late summer,Fish,409,Electrona carlsbergi,3.09,18.52,18.52,,,trop
15-Feb-08,2008,Late summer,Fish,412,Electrona carlsbergi,3.18,20.50,20.50,,,trop
15-Feb-08,2008,Late summer,Fish,412,Electrona carlsbergi,3.18,20.50,20.50,,,trop
15-Feb-08,2008,Late summer,Fish,412,Electrona carlsbergi,3.27,22.62,22.62,,,trop
15-Feb-08,2008,Late summer,Fish,416,Electrona carlsbergi,2.73,11.96,11.96,,,trop
15-Feb-08,2008,Late summer,Fish,418,Electrona carlsbergi,2.91,14.98,14.98,,,trop
15-Feb-08,2008,Late summer,Fish,420,Electrona carlsbergi,3.27,22.62,22.62,,,trop
15-Feb-08,2008,Late summer,Fish,421,Electrona carlsbergi,3.00,16.69,16.69,,,trop
15-Feb-08,2008,Late summer,Fish,421,Electrona carlsbergi,3.00,16.69,16.69,,,trop
15-Feb-08,2008,Late summer,Fish,421,Electrona carlsbergi,3.09,18.52,18.52,,,trop
15-Feb-08,2008,Late summer,Fish,423,Electrona carlsbergi,3.18,20.50,20.50,,,trop
15-Feb-08,2008,Late summer,Fish,427,Electrona carlsbergi,3.18,20.50,20.50,,,trop
15-Feb-08,2008,Late summer,Fish,427,Electrona carlsbergi,3.36,24.90,24.90,,,trop
15-Feb-08,2008,Late summer,Fish,427,Electrona carlsbergi,3.45,27.33,27.33,,,trop
15-Feb-08,2008,Late summer,Fish,427,Electrona carlsbergi,4.09,49.36,49.36,,,trop
15-Feb-08,2008,Late summer,Fish,428,Electrona carlsbergi,2.91,14.98,14.98,,,trop
15-Feb-08,2008,Late summer,Fish,429,Electrona carlsbergi,3.00,16.69,16.69,,,trop
16-Mar-08,2008,Late summer,Fish,434,Electrona carlsbergi,3.18,20.50,20.50,,,trop
16-Mar-08,2008,Late summer,Fish,435,Electrona carlsbergi,3.09,18.52,18.52,,,trop
16-Mar-08,2008,Late summer,Fish,436,Electrona carlsbergi,2.73,11.96,11.96,,,trop
16-Mar-08,2008,Late summer,Fish,436,Electrona carlsbergi,2.91,14.98,14.98,,,trop
16-Mar-08,2008,Late summer,Fish,439,Electrona carlsbergi,1.82,2.90,2.90,,,trop
16-Mar-08,2008,Late summer,Fish,439,Electrona carlsbergi,2.73,11.96,11.96,,,trop
16-Mar-08,2008,Late summer,Fish,440,Electrona carlsbergi,2.82,13.41,13.41,,,trop
16-Mar-08,2008,Late summer,Fish,440,Electrona carlsbergi,2.91,14.98,14.98,,,trop
16-Mar-08,2008,Late summer,Fish,440,Electrona carlsbergi,3.18,20.50,20.50,,,trop
16-Mar-08,2008,Late summer,Fish,442,Electrona carlsbergi,2.73,11.96,11.96,,,trop
16-Mar-08,2008,Late summer,Fish,442,Electrona carlsbergi,2.82,13.41,13.41,,,trop
16-Mar-08,2008,Late summer,Fish,442,Electrona carlsbergi,3.09,18.52,18.52,,,trop
16-Mar-08,2008,Late summer,Fish,445,Electrona carlsbergi,3.09,18.52,18.52,,,trop
16-Mar-08,2008,Late summer,Fish,445,Electrona carlsbergi,3.27,22.62,22.62,,,trop
16-Mar-08,2008,Late summer,Fish,445,Electrona carlsbergi,3.36,24.90,24.90,,,trop
16-Mar-08,2008,Late summer,Fish,446,Electrona carlsbergi,2.55,9.39,9.39,,,trop
16-Mar-08,2008,Late summer,Fish,447,Electrona carlsbergi,2.82,13.41,13.41,,,trop
16-Mar-08,2008,Late summer,Fish,450,Electrona carlsbergi,3.45,27.33,27.33,,,trop
16-Mar-08,2008,Late summer,Fish,453,Electrona carlsbergi,3.27,22.62,22.62,,,trop
16-Mar-08,2008,Late summer,Fish,454,Electrona carlsbergi,3.09,18.52,18.52,,,trop
16-Mar-08,2008,Late summer,Fish,454,Electrona carlsbergi,3.36,24.90,24.90,,,trop
16-Mar-08,2008,Late summer,Fish,455,Electrona carlsbergi,2.91,14.98,14.98,,,trop
15-Apr-08,2008,Late summer,Fish,464,Electrona carlsbergi,2.91,14.98,14.98,,,trop
15-Apr-08,2008,Late summer,Fish,464,Electrona carlsbergi,3.00,16.69,16.69,,,trop
15-Apr-08,2008,Late summer,Fish,464,Electrona carlsbergi,3.18,20.50,20.50,,,trop
15-Apr-08,2008,Late summer,Fish,464,Electrona carlsbergi,4.00,45.63,45.63,,,trop
15-Apr-08,2008,Late summer,Fish,465,Electrona carlsbergi,1.91,3.44,3.44,,,trop
15-Apr-08,2008,Late summer,Fish,465,Electrona carlsbergi,2.09,4.72,4.72,,,trop
15-Apr-08,2008,Late summer,Fish,465,Electrona carlsbergi,2.64,10.62,10.62,,,trop
15-Apr-08,2008,Late summer,Fish,465,Electrona carlsbergi,2.73,11.96,11.96,,,trop
15-Apr-08,2008,Late summer,Fish,465,Electrona carlsbergi,3.00,16.69,16.69,,,trop
15-Apr-08,2008,Late summer,Fish,465,Electrona carlsbergi,3.27,22.62,22.62,,,trop
15-Apr-08,2008,Late summer,Fish,465,Electrona carlsbergi,3.91,42.11,42.11,,,trop
15-Apr-08,2008,Late summer,Fish,470,Electrona carlsbergi,2.82,13.41,13.41,,,trop
15-Apr-08,2008,Late summer,Fish,470,Electrona carlsbergi,3.55,29.93,29.93,,,trop
15-Apr-08,2008,Late summer,Fish,470,Electrona carlsbergi,3.64,32.70,32.70,,,trop
15-Apr-08,2008,Late summer,Fish,470,Electrona carlsbergi,3.82,38.78,38.78,,,trop
14-Jun-08,2008,Winter,Fish,474,Electrona carlsbergi,3.00,16.69,16.69,,,trop
14-Jun-08,2008,Winter,Fish,476,Electrona carlsbergi,1.36,1.06,1.06,,,trop
14-Jun-08,2008,Winter,Fish,476,Electrona carlsbergi,1.91,3.44,3.44,,,trop
14-Jun-08,2008,Winter,Fish,476,Electrona carlsbergi,2.00,4.04,4.04,,,trop
14-Jun-08,2008,Winter,Fish,476,Electrona carlsbergi,2.00,4.04,4.04,,,trop
14-Jun-08,2008,Winter,Fish,476,Electrona carlsbergi,2.18,5.48,5.48,,,trop
14-Jun-08,2008,Winter,Fish,476,Electrona carlsbergi,2.27,6.32,6.32,,,trop
14-Jun-08,2008,Winter,Fish,476,Electrona carlsbergi,2.36,7.25,7.25,,,trop
14-Jun-08,2008,Winter,Fish,476,Electrona carlsbergi,2.55,9.39,9.39,,,trop
14-Jun-08,2008,Winter,Fish,476,Electrona carlsbergi,2.73,11.96,11.96,,,trop
14-Jun-08,2008,Winter,Fish,477,Electrona carlsbergi,2.27,6.32,6.32,,,trop
14-Jun-08,2008,Winter,Fish,477,Electrona carlsbergi,2.27,6.32,6.32,,,trop
14-Jun-08,2008,Winter,Fish,477,Electrona carlsbergi,2.27,6.32,6.32,,,trop
14-Jun-08,2008,Winter,Fish,477,Electrona carlsbergi,2.36,7.25,7.25,,,trop
14-Jun-08,2008,Winter,Fish,482,Electrona carlsbergi,2.09,4.72,4.72,,,trop
21-Aug-08,2008,Winter,Fish,483,Electrona carlsbergi,2.36,7.25,7.25,,,trop
21-Aug-08,2008,Winter,Fish,483,Electrona carlsbergi,2.36,7.25,7.25,,,trop
